league,city,name,logo
MLB,Miami,Marlins,http://content.sportslogos.net/logos/54/3637/thumbs/363775442019.gif
MLB,New York,Mets,http://content.sportslogos.net/logos/54/67/thumbs/m01gfgeorgvbfw15fy04alujm.gif
MLB,Philadelphia,Phillies,http://content.sportslogos.net/logos/54/70/thumbs/7075792019.gif
MLB,Washington,Nationals,http://content.sportslogos.net/logos/54/578/thumbs/rcehah9k0kekjkgzm077fflws.gif
MLB,Chicago,Cubs,http://content.sportslogos.net/logos/54/54/thumbs/q9gvs07u72gc9xr3395u6jh68.gif
MLB,Cincinnati,Reds,http://content.sportslogos.net/logos/54/56/thumbs/z9e0rqit393ojiizsemd0t1hx.gif
MLB,Milwaukee,Brewers,http://content.sportslogos.net/logos/54/64/thumbs/6464742020.gif
MLB,Pittsburgh,Pirates,http://content.sportslogos.net/logos/54/71/thumbs/7112502014.gif
MLB,St. Louis,Cardinals,http://content.sportslogos.net/logos/54/72/thumbs/3zhma0aeq17tktge1huh7yok5.gif
MLB,Arizona,Diamondbacks,http://content.sportslogos.net/logos/54/50/thumbs/gnnnrbxcmjhdgeu6mavqk3945.gif
MLB,Colorado,Rockies,http://content.sportslogos.net/logos/54/58/thumbs/5868712017.gif
MLB,Los Angeles,Dodgers,http://content.sportslogos.net/logos/54/63/thumbs/efvfv5b5g1zgpsf56gb04lthx.gif
MLB,San Diego,Padres,http://content.sportslogos.net/logos/54/73/thumbs/7375172020.gif
MLB,San Francisco,Giants,http://content.sportslogos.net/logos/54/74/thumbs/cpqj6up5bvgpoedg5fwsk20ve.gif
MLB,Baltimore,Orioles,http://content.sportslogos.net/logos/53/52/thumbs/5258002019.gif
MLB,Boston,Red Sox,http://content.sportslogos.net/logos/53/53/thumbs/c0whfsa9j0vbs079opk2s05lx.gif
MLB,New York,Yankees,http://content.sportslogos.net/logos/53/68/thumbs/1256.gif
MLB,Tampa,Bay Rays,http://content.sportslogos.net/logos/53/2535/thumbs/253594482019.gif
MLB,Toronto,Blue Jays,http://content.sportslogos.net/logos/53/78/thumbs/7889872020.gif
MLB,Chicago,White Sox,http://content.sportslogos.net/logos/53/55/thumbs/oxvkprv7v4inf5dgqdebp0yse.gif
MLB,Cleveland,Indians,http://content.sportslogos.net/logos/53/57/thumbs/5753472014.gif
MLB,Detroit,Tigers,http://content.sportslogos.net/logos/53/59/thumbs/5989642016.gif
MLB,Minnesota,Twins,http://content.sportslogos.net/logos/53/65/thumbs/peii986yf4l42v3aa3hy0ovlf.gif
MLB,Kansas City,Royals,http://content.sportslogos.net/logos/53/62/thumbs/6283222019.gif
MLB,Houston,Astros,http://content.sportslogos.net/logos/53/4929/thumbs/492995032000.gif
MLB,Los Angeles,Angels,http://content.sportslogos.net/logos/53/6521/thumbs/652143892016.gif
MLB,Oakland,Athletics,http://content.sportslogos.net/logos/53/69/thumbs/6xk2lpc36146pbg2kydf13e50.gif
MLB,Texas,Rangers,http://content.sportslogos.net/logos/53/77/thumbs/ajfeh4oqeealq37er15r3673h.gif
MLB,Seattle,Mariners,http://content.sportslogos.net/logos/53/75/thumbs/1305.gif
NHL,Anaheim,Ducks,http://content.sportslogos.net/logos/1/1736/thumbs/173616512014.gif
NHL,Arizona,Coyotes,http://content.sportslogos.net/logos/1/5263/thumbs/526378072015.gif
NHL,Boston,Bruins,http://content.sportslogos.net/logos/1/3/thumbs/venf9fmhgnsawnxxvehf.gif
NHL,Buffalo,Sabres,http://content.sportslogos.net/logos/1/4/thumbs/i40oxcdbo7xtfamqqhqachoyo.gif
NHL,Calgary,Flames,http://content.sportslogos.net/logos/1/5/thumbs/50.gif
NHL,Carolina,Hurricanes,http://content.sportslogos.net/logos/1/6/thumbs/fotih31tn5r345nufo5xxayh3.gif
NHL,Chicago,Blackhawks,http://content.sportslogos.net/logos/1/7/thumbs/56.gif
NHL,Colorado,Avalanche,http://content.sportslogos.net/logos/1/8/thumbs/64.gif
NHL,Columbus,Blue Jackets,http://content.sportslogos.net/logos/1/9/thumbs/jhepegs329pc7ugyypebl28wg.gif
NHL,Dallas,Stars,http://content.sportslogos.net/logos/1/10/thumbs/1079172014.gif
NHL,Detroit,Red Wings,http://content.sportslogos.net/logos/1/11/thumbs/yo3wysbjtagzmwj37tb11u0fh.gif
NHL,Edmonton,Oilers,http://content.sportslogos.net/logos/1/12/thumbs/1227282018.gif
NHL,Florida,Panthers,http://content.sportslogos.net/logos/1/13/thumbs/1380782017.gif
NHL,Los Angeles,Kings,http://content.sportslogos.net/logos/1/14/thumbs/1422202020.gif
NHL,Minnesota,Wild,http://content.sportslogos.net/logos/1/15/thumbs/1588102014.gif
NHL,Montreal,Canadiens,http://content.sportslogos.net/logos/1/16/thumbs/124.gif
NHL,Nashville,Predators,http://content.sportslogos.net/logos/1/17/thumbs/lvchw3qfsun2e7oc02kh2zxb6.gif
NHL,New Jersey,Devils,http://content.sportslogos.net/logos/1/18/thumbs/32tfs723a3bes0p0hb4hgcy1u.gif
NHL,New York,Islanders,http://content.sportslogos.net/logos/1/19/thumbs/1939112018.gif
NHL,New York,Rangers,http://content.sportslogos.net/logos/1/20/thumbs/144.gif
NHL,Ottawa,Senators,http://content.sportslogos.net/logos/1/21/thumbs/2bkf2l3xyxi5p0cavbj8.gif
NHL,Philadelphia,Flyers,http://content.sportslogos.net/logos/1/22/thumbs/161.gif
NHL,Pittsburgh,Penguins,http://content.sportslogos.net/logos/1/24/thumbs/2463622017.gif
NHL,San Jose,Sharks,http://content.sportslogos.net/logos/1/26/thumbs/dmo1xf3z4pph27vmg3gf.gif
NHL,St. Louis,Blues,http://content.sportslogos.net/logos/1/25/thumbs/187.gif
NHL,Tampa Bay,Lightning,http://content.sportslogos.net/logos/1/27/thumbs/97hhvk8e5if0riesnex30etgz.gif
NHL,Toronto,Maple Leafs,http://content.sportslogos.net/logos/1/28/thumbs/2887612017.gif
NHL,Vancouver,Canucks,http://content.sportslogos.net/logos/1/29/thumbs/2920842020.gif
NHL,Vegas,Golden Knights,http://content.sportslogos.net/logos/1/6114/thumbs/611426842018.gif
NHL,Washington,Capitals,http://content.sportslogos.net/logos/1/30/thumbs/llrs2zxi127vkqgcsvfb.gif
NHL,Winnipeg,Jets,http://content.sportslogos.net/logos/1/3050/thumbs/z9qyy9xqoxfjn0njxgzoy2rwk.gif
